epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5337,3.01475,3.50357,3.4569,0.50645,0.04386,0.00293,0.0007,3.34458,13.8867,4.61763,0.0701141,0.00332066,0.00332066
2,123.362,2.61477,3.17369,3.09917,0.80997,0.04637,0.05264,0.01476,2.67209,5.63017,3.30449,0.0400482,0.00658812,0.00658812
3,177.548,2.44603,3.05708,2.93079,0.40395,0.22367,0.13864,0.05154,2.35484,3.57309,2.95559,0.00991632,0.00978958,0.00978958
4,230.029,2.33483,2.90709,2.77645,0.82959,0.03947,0.03773,0.01269,2.77791,5.69621,3.42104,0.009703,0.009703,0.009703
5,281.438,2.29496,2.9309,2.75013,0.12228,0.25633,0.13705,0.04466,2.24489,3.21575,2.77131,0.009604,0.009604,0.009604
6,332.772,2.16905,2.80254,2.62856,0.26046,0.2787,0.18309,0.06852,2.1284,2.8925,2.72388,0.009505,0.009505,0.009505
7,384.041,2.083,2.73584,2.55627,0.1657,0.40989,0.17345,0.07118,2.04086,3.27,2.63577,0.009406,0.009406,0.009406
8,435.602,1.9562,2.60128,2.43595,0.68548,0.19273,0.20124,0.09362,1.9797,2.77021,2.57664,0.009307,0.009307,0.009307
9,486.962,1.95765,2.56374,2.43911,0.25393,0.37082,0.25721,0.09843,1.9467,2.76082,2.57762,0.009208,0.009208,0.009208
10,538.157,1.87933,2.45138,2.36727,0.215,0.44866,0.24186,0.10991,1.87776,2.76631,2.42024,0.009109,0.009109,0.009109
11,589.248,1.80445,2.415,2.30166,0.38055,0.46616,0.34329,0.16262,1.7488,2.29024,2.37192,0.00901,0.00901,0.00901
12,640.377,1.81915,2.37437,2.3087,0.24968,0.46382,0.2908,0.13962,1.70797,2.42117,2.29633,0.008911,0.008911,0.008911
13,691.527,1.76861,2.36665,2.27718,0.28142,0.38032,0.2999,0.15383,1.67414,2.34915,2.27894,0.008812,0.008812,0.008812
14,742.613,1.72814,2.31329,2.22147,0.33819,0.44828,0.32145,0.16508,1.64653,2.27845,2.21435,0.008713,0.008713,0.008713
15,793.952,1.71001,2.31168,2.21933,0.25767,0.39369,0.2941,0.14773,1.66728,2.67525,2.30588,0.008614,0.008614,0.008614
16,844.989,1.70536,2.29323,2.22297,0.28468,0.46468,0.34705,0.18884,1.53484,2.16907,2.14807,0.008515,0.008515,0.008515
17,896.071,1.67445,2.19791,2.17381,0.26838,0.37518,0.28315,0.13506,1.72668,2.49049,2.35346,0.008416,0.008416,0.008416
18,947.118,1.63595,2.14786,2.13908,0.31264,0.49509,0.37261,0.19614,1.61448,2.32174,2.25897,0.008317,0.008317,0.008317
19,998.177,1.62639,2.16121,2.12557,0.36136,0.47225,0.39255,0.2071,1.50271,2.06298,2.10898,0.008218,0.008218,0.008218
20,1049.36,1.59995,2.12707,2.10542,0.37072,0.51752,0.42185,0.24855,1.52798,2.01446,2.11579,0.008119,0.008119,0.008119
21,1100.63,1.59189,2.07927,2.06752,0.30135,0.48163,0.41503,0.21811,1.49587,2.09705,2.07563,0.00802,0.00802,0.00802
22,1151.78,1.56249,2.04828,2.05566,0.41575,0.4515,0.43942,0.25157,1.56218,2.03689,2.14845,0.007921,0.007921,0.007921
23,1202.92,1.55029,2.03774,2.05252,0.33606,0.50112,0.42793,0.24435,1.44993,2.09503,2.01521,0.007822,0.007822,0.007822
24,1253.97,1.52708,2.0191,2.03445,0.49093,0.46338,0.44264,0.24977,1.48623,1.9853,2.08979,0.007723,0.007723,0.007723
25,1305.02,1.49632,1.95997,2.00819,0.44235,0.56593,0.49932,0.28769,1.42858,1.8401,1.9935,0.007624,0.007624,0.007624
26,1356.06,1.4782,1.9431,1.98038,0.52979,0.49779,0.49787,0.29079,1.42432,1.82103,2.01884,0.007525,0.007525,0.007525
27,1407.22,1.46226,1.89373,1.96979,0.4923,0.51154,0.48507,0.28729,1.372,1.8063,1.95482,0.007426,0.007426,0.007426
28,1458.38,1.45774,1.89631,1.95908,0.47722,0.55263,0.52262,0.31781,1.3996,1.75726,1.92856,0.007327,0.007327,0.007327
29,1509.35,1.44786,1.91559,1.93569,0.42259,0.53532,0.49838,0.29087,1.31553,1.85022,1.9192,0.007228,0.007228,0.007228
30,1560.36,1.42574,1.85661,1.93309,0.51434,0.52348,0.53486,0.32878,1.3749,1.80071,1.957,0.007129,0.007129,0.007129
31,1611.59,1.41583,1.84519,1.91841,0.61088,0.52854,0.54513,0.33417,1.30264,1.73942,1.87721,0.00703,0.00703,0.00703
32,1662.63,1.4182,1.81179,1.91388,0.52686,0.49999,0.53115,0.3283,1.26016,1.72323,1.8269,0.006931,0.006931,0.006931
